"species_code","alt_full_spp_code","n_locations","scientific_name","american_english_name","taxonomy_version","taxonomic_sort_order"
"foxsp2","foxspa","57","Passerella iliaca [unalaschcensis Group]","Fox Sparrow (Sooty)",2022,32426
"foxsp4","foxspa","1","Passerella iliaca [megarhyncha Group]","Fox Sparrow (Thick-billed)",2022,32434
"foxsp3","foxspa","26","Passerella iliaca [schistacea Group]","Fox Sparrow (Slate-colored)",2022,32440
"foxsp1","foxspa","81","Passerella iliaca iliaca/zaboria","Fox Sparrow (Red)",2022,32446
"daejun",NA,"85183","Junco hyemalis","Dark-eyed Junco",2022,32449
"slcjun","daejun","1353","Junco hyemalis hyemalis/carolinensis","Dark-eyed Junco (Slate-colored)",2022,32451
"daejun1","daejun","68","Junco hyemalis cismontanus","Dark-eyed Junco (cismontanus)",2022,32454
"orejun","daejun","1153","Junco hyemalis [oreganus Group]","Dark-eyed Junco (Oregon)",2022,32455
"pisjun","daejun","272","Junco hyemalis mearnsi","Dark-eyed Junco (Pink-sided)",2022,32463
"whwjun","daejun","61","Junco hyemalis aikeni","Dark-eyed Junco (White-winged)",2022,32465
"gyhjun","daejun","174","Junco hyemalis caniceps","Dark-eyed Junco (Gray-headed)",2022,32467
"daejun8","daejun","25","Junco hyemalis oreganus x caniceps","Dark-eyed Junco (Oregon x Gray-headed)",2022,32468
"daejun4","daejun","21","Junco hyemalis mearnsi x caniceps","Dark-eyed Junco (Pink-sided x Gray-headed)",2022,32469
"rebjun1","daejun","21","Junco hyemalis dorsalis","Dark-eyed Junco (Red-backed)",2022,32470
"yeejun",NA,"30","Junco phaeonotus","Yellow-eyed Junco",2022,32473
"y00333",NA,"4","Junco hyemalis/phaeonotus","Dark-eyed/Yellow-eyed Junco",2022,32480
"whcspa",NA,"23992","Zonotrichia leucophrys","White-crowned Sparrow",2022,32512
"ewcspa1","whcspa","1","Zonotrichia leucophrys leucophrys","White-crowned Sparrow (leucophrys)",2022,32514
"gwcspa","whcspa","8","Zonotrichia leucophrys gambelii","White-crowned Sparrow (Gambel's)",2022,32516
"whcspa3","whcspa","1","Zonotrichia leucophrys nuttalli/pugetensis","White-crowned Sparrow (Yellow-billed)",2022,32517
"nwcspa","whcspa","1","Zonotrichia leucophrys nuttalli","White-crowned Sparrow (nuttalli)",2022,32518
"pswspa1","whcspa","1","Zonotrichia leucophrys pugetensis","White-crowned Sparrow (pugetensis)",2022,32519
"gocspa",NA,"5460","Zonotrichia atricapilla","Golden-crowned Sparrow",2022,32521
"x00053",NA,"1","Zonotrichia leucophrys x atricapilla","White-crowned x Golden-crowned Sparrow (hybrid)",2022,32522
"harspa",NA,"2402","Zonotrichia querula","Harris's Sparrow",2022,32523
"whtspa",NA,"40529","Zonotrichia albicollis","White-throated Sparrow",2022,32526
"y00332",NA,"4","Zonotrichia leucophrys/albicollis","White-crowned/White-throated Sparrow",2022,32528
"x00720",NA,"2","Zonotrichia atricapilla x albicollis","Golden-crowned x White-throated Sparrow (hybrid)",2022,32529
"x00039",NA,"16","Junco hyemalis x Zonotrichia albicollis","Dark-eyed Junco x White-throated Sparrow (hybrid)",2022,32531
"sagspa1",NA,"20","Artemisiospiza nevadensis","Sagebrush Sparrow",2022,32532
"belspa2",NA,"2","Artemisiospiza belli","Bell's Sparrow",2022,32533
"sagspa",NA,"19","Artemisiospiza nevadensis/belli","Sagebrush/Bell's Sparrow (Sage Sparrow)",2022,32538
"vesspa",NA,"244","Pooecetes gramineus","Vesper Sparrow",2022,32542
"lecspa",NA,"13","Ammospiza leconteii","LeConte's Sparrow",2022,32546
"seaspa",NA,"13","Ammospiza maritima","Seaside Sparrow",2022,32547
"nstspa",NA,"2","Ammospiza nelsoni","Nelson's Sparrow",2022,32557
"nstspa2","nstspa","1","Ammospiza nelsoni subvirgata","Nelson's Sparrow (Atlantic Coast)",2022,32561
"shtspa",NA,"3","Ammospiza nelsoni/caudacuta","Nelson's/Saltmarsh Sparrow (Sharp-tailed Sparrow)",2022,32567
"savspa",NA,"1226","Passerculus sandwichensis","Savannah Sparrow",2022,32569
"savspa4","savspa","21","Passerculus sandwichensis [sandwichensis Group]","Savannah Sparrow (Savannah)",2022,32570
"ipsspa","savspa","19","Passerculus sandwichensis princeps","Savannah Sparrow (Ipswich)",2022,32584
